IDtag,RTC_time,,temp,humidity,loadCell,vbat,ElecCond
100,19:29_4/18,,10.94,63.9,0.748535,3.8,195
100,19:34_4/18,,10.78,64.35,0.748022,3.8,210
100,19:39_4/18,,10.36,64.67,0.747725,3.8,210
100,19:44_4/18,,10.01,65.03,0.747545,3.8,196
100,19:49_4/18,,9.91,65.63,0.747225,3.8,209
100,19:54_4/18,,10.13,66.36,0.7468,3.8,209
100,19:59_4/18,,10.23,66.75,0.746721,3.8,195
100,20:4_4/18,,10.13,67.21,0.746713,3.8,255
100,20:9_4/18,,9.88,67.78,0.746635,3.8,255
100,20:14_4/18,,9.78,68.28,0.746766,3.8,197
100,20:19_4/18,,9.74,68.17,0.746196,3.8,257
100,20:24_4/18,,9.64,68.7,0.746179,3.8,257
100,20:29_4/18,,9.7,68.59,0.745962,3.8,196
100,20:34_4/18,,9.51,68.57,0.745594,3.8,211
100,20:39_4/18,,9.35,68.84,0.74536,3.8,211
100,20:44_4/18,,9.29,69.21,0.745164,3.8,196
100,20:49_4/18,,9.39,69.52,0.745089,3.8,211
100,20:54_4/18,,9.46,69.63,0.744962,3.8,211
100,20:59_4/18,,9.49,69.63,0.744743,3.8,197
100,21:4_4/18,,9.42,69.69,0.744562,3.8,261
100,21:9_4/18,,9.27,69.69,0.744262,3.8,261
100,21:14_4/18,,9.09,69.84,0.743964,3.8,196
100,21:19_4/18,,8.84,70.06,0.743797,3.8,258
100,21:24_4/18,,8.56,70.37,0.743601,3.8,258
100,21:29_4/18,,8.38,71.02,0.743416,3.8,197
100,21:34_4/18,,8.68,71.68,0.743626,3.8,210
100,21:39_4/18,,8.94,71.51,0.743479,3.8,210
100,21:44_4/18,,8.82,71.39,0.743197,3.8,197
100,21:49_4/18,,8.47,71.47,0.743054,3.8,212
100,21:54_4/18,,8.02,71.7,0.743054,3.8,212
100,21:59_4/18,,7.63,72.48,0.742745,3.8,196
100,22:4_4/18,,7.53,72.84,0.742597,3.8,258
100,22:9_4/18,,7.39,73.13,0.742922,3.8,258
100,22:14_4/18,,7.22,73.44,0.742796,3.8,197
100,22:19_4/18,,7.18,73.82,0.74314,3.8,260
100,22:24_4/18,,7.24,74.2,0.743297,3.8,260
100,22:29_4/18,,7.22,74.46,0.742956,3.8,197
100,22:34_4/18,,7.04,74.42,0.742553,3.8,213
100,22:39_4/18,,6.83,74.58,0.74218,3.8,213
100,22:44_4/18,,7.04,75.05,0.742577,3.8,198
100,22:49_4/18,,6.76,74.79,0.742285,3.8,212
100,22:54_4/18,,6.39,75.36,0.74201,3.8,212
100,22:59_4/18,,6.14,75.62,0.741788,3.8,196
100,23:4_4/18,,6.2,76.01,0.741648,3.8,262
100,23:9_4/18,,5.83,75.99,0.741456,3.8,262
100,23:14_4/18,,5.34,76.13,0.74103,3.8,197
100,23:19_4/18,,5.49,76.63,0.740875,3.8,263
100,23:24_4/18,,5.49,77.01,0.740492,3.8,263
100,23:29_4/18,,5.69,77.53,0.740173,3.8,197
100,23:34_4/18,,5.77,77.78,0.740375,3.8,214
100,23:39_4/18,,5.47,77.71,0.740219,3.8,214
100,23:44_4/18,,5.21,77.91,0.740251,3.8,198
100,23:49_4/18,,5.05,78.13,0.740044,3.8,213
100,23:54_4/18,,4.82,78.31,0.739977,3.8,213
100,23:59_4/18,,4.74,78.57,0.7398,3.8,199
100,0:4_4/19,,4.49,78.9,0.739802,3.8,263
100,0:9_4/19,,4.38,79.36,0.739628,3.8,263
100,0:14_4/19,,4.51,79.73,0.739759,3.8,199
100,0:19_4/19,,4.52,79.7,0.739715,3.8,263
100,0:24_4/19,,4.28,79.62,0.739485,3.8,263
100,0:29_4/19,,4.11,79.82,0.739424,3.8,197
100,0:34_4/19,,4.07,80.48,0.741194,3.8,210
100,0:39_4/19,,4.17,80.08,0.740403,3.8,210
100,0:44_4/19,,4.16,80.31,0.740112,3.8,200
100,0:49_4/19,,4.22,80.53,0.740151,3.8,211
100,0:54_4/19,,4.17,80.88,0.74022,3.8,211
100,0:59_4/19,,4.02,80.91,0.740319,3.8,198
100,1:4_4/19,,3.95,81.16,0.740013,3.8,215
100,1:9_4/19,,3.86,80.99,0.740039,3.8,215
100,1:14_4/19,,3.94,81.77,0.740293,3.8,198
100,1:19_4/19,,3.69,81.24,0.739887,3.8,265
100,1:24_4/19,,3.41,81.31,0.739835,3.8,265
100,1:29_4/19,,3.43,81.79,0.739745,3.8,197
100,1:34_4/19,,3.35,81.71,0.739727,3.8,262
100,1:39_4/19,,3.19,81.71,0.739713,3.8,262
100,1:44_4/19,,3.13,81.79,0.739758,3.8,199
100,1:49_4/19,,3.26,82.47,0.739875,3.8,215
100,1:54_4/19,,3.54,82.15,0.739886,3.8,215
100,1:59_4/19,,3.42,82.55,0.740223,3.8,199
100,2:4_4/19,,3.29,82.36,0.740308,3.8,214
100,2:9_4/19,,3.25,82.59,0.741479,3.8,214
100,2:14_4/19,,3.14,82.41,0.740681,3.8,199
100,2:19_4/19,,3.28,83.03,0.741047,3.8,264
100,2:24_4/19,,3.59,83.27,0.741738,3.8,264
100,2:29_4/19,,3.68,83.13,0.742202,3.8,202
